iter	RMSE
510	0.08824697045
511	0.08821165704
512	0.08805368734
513	0.08777044324
514	0.08759063959
515	0.08728347006
516	0.08723725458
517	0.08706933566
518	0.08688885222
519	0.08681831496
520	0.08666539098
521	0.08640345177
522	0.08623249798
523	0.08619735086
524	0.08592710479
525	0.08578026839
526	0.0856382275
527	0.08536751445
528	0.08532312068
529	0.08518646391
530	0.0851660818
531	0.08512158285
532	0.08498734893
533	0.08485346754
534	0.08470720964
535	0.0845714719
536	0.08442159202
537	0.08426806635
538	0.08402308244
539	0.08389507837
540	0.0838779526
541	0.08371957516
542	0.08361248946
543	0.08354149212
544	0.08339704121
545	0.08326601201
546	0.08306678596
547	0.08296723709
548	0.08273225092
549	0.08263551585
550	0.082595379
551	0.08237029654
552	0.08213112569
553	0.08195543825
554	0.08180606076
555	0.08159574696
556	0.08147996169
557	0.08146170638
558	0.08131698895
559	0.08112418789
560	0.08100150917
561	0.0808989173
562	0.08068423149
563	0.08056578737
564	0.08041577514
565	0.08025633944
566	0.08011707478
567	0.08000375135
568	0.07996576402
569	0.07981430388
570	0.0796893004
571	0.07959246566
572	0.07936132528
573	0.0792300956
574	0.07912469024
575	0.07899200823
576	0.07883456218
577	0.07870782677
578	0.07864119567
579	0.07848486682
580	0.07837354044
581	0.07827176007
582	0.07823955468
583	0.07809021251
584	0.07796512276
585	0.07790907275
586	0.07781221684
587	0.07763602522
588	0.07753987403
589	0.07734083377
590	0.07721828802
591	0.07708636886
592	0.07703285655
593	0.07696161294
594	0.07682631571
595	0.07677305229
596	0.07660941341
597	0.07650119764
598	0.07640015379
599	0.07620046246
600	0.07610671924
601	0.07602608873
602	0.07593753622
603	0.07580929146
604	0.07577173974
605	0.07572977433
606	0.07560853583
607	0.07544082622
608	0.07536621911
609	0.07525860871
610	0.07523053971
611	0.07517964526
612	0.07499112085
613	0.07482265119
614	0.07471580993
615	0.07459299289
616	0.07444107194
617	0.0743055962
618	0.07415280758
619	0.07407284838
620	0.07392685997
621	0.07377308541
622	0.07368607473
623	0.07357455328
624	0.07351640938
625	0.07340427128
626	0.07323186642
627	0.07307363983
628	0.07301701545
629	0.07288600477
630	0.07277251711
631	0.07270401877
632	0.07251408501
633	0.07241054767
634	0.07231244922
635	0.07218922985
636	0.0720479401
637	0.0719944786
638	0.07193990933
639	0.07186280208
640	0.0716907492
641	0.07156943982
642	0.07145314878
643	0.07135893179
644	0.07129810291
645	0.0711981475
646	0.07116565097
647	0.07106526331
648	0.07097576204
649	0.07092286277
650	0.07078880665
651	0.07064196565
652	0.07062988512
653	0.07049333733
654	0.07038484389
655	0.07029800379
656	0.07015369568
657	0.07005138585
658	0.06999173356
659	0.06992001844
660	0.06985631939
661	0.06983280687
662	0.06973249968
663	0.069643158
664	0.06959510251
665	0.0695480764
666	0.06944178415
667	0.06925487687
668	0.06913845194
669	0.06905295223
670	0.0689708672
671	0.06886176458
672	0.06883810951
673	0.06870465461
674	0.06868355651
675	0.06860536639
676	0.06851184537
677	0.06838703453
678	0.0683006463
679	0.06821414983
680	0.06808974364
681	0.06804632629
682	0.06795685549
683	0.06787572951
684	0.06781074389
685	0.06775563919
686	0.06762568079
687	0.06754911284
688	0.06742917474
689	0.06732339812
690	0.06724914128
691	0.06718082474
692	0.06715342859
693	0.06708090866
694	0.06705765924
695	0.06698942221
696	0.06697666242
697	0.06688027891
698	0.06678232296
699	0.06671072839
700	0.06667849354
701	0.06651310026
702	0.06646584049
703	0.0663282244
704	0.06625974766
705	0.06623948298
706	0.06605685434
707	0.065946838
708	0.0658420534
709	0.06583404022
710	0.06580633829
711	0.06572186687
712	0.06566573981
713	0.06555357953
714	0.06549359474
715	0.06542792375
716	0.06533668229
717	0.0652723516
718	0.06517661692
719	0.06507444497
720	0.0649931122
721	0.06492153087
722	0.06481058801
723	0.06480169561
724	0.06462894422
725	0.0645965861
726	0.06458726048
727	0.06453199586
728	0.06438781515
729	0.06431927002
730	0.06423529477
731	0.06410178425
732	0.06402254026
733	0.06393149134
734	0.06385952841
735	0.06375788329
736	0.06367483472
737	0.06366001579
738	0.06357522877
739	0.06346891761
740	0.06346077262
741	0.06333694705
742	0.06326132244
743	0.06325343267
744	0.06324191452
745	0.06314801693
746	0.06310711746
747	0.06300079606
748	0.06288571868
749	0.06287663296
750	0.06277693866
751	0.06271121914
752	0.06268692456
753	0.06265074768
754	0.06255643113
755	0.06245413776
756	0.06244329784
757	0.06234794548
758	0.06223009782
759	0.06216012328
760	0.06214928125
761	0.06207579534
762	0.06193631783
763	0.06187439098
764	0.06183671148
765	0.0617307603
766	0.06157507731
767	0.06149191289
768	0.06137167464
769	0.06127226479
770	0.06119190921
771	0.06114068175
772	0.06110827879
773	0.06107700471
774	0.06106668935
775	0.06105948052
776	0.06098510237
777	0.06090337684
778	0.06084516733
779	0.06078284138
780	0.0606983041
781	0.06066709936
782	0.06061982194
783	0.06050372097
784	0.06041378806
785	0.06032878936
786	0.06032120609
787	0.06022952076
788	0.06015777386
789	0.06015046798
790	0.06014338848
791	0.06006452059
792	0.06005820079
793	0.05996596578
794	0.05990296876
795	0.05989659008
796	0.05986553635
797	0.05973277424
798	0.05970504774
799	0.05962465606
800	0.05961898732
801	0.05951837765
802	0.05943330969
803	0.05940019711
804	0.05929741555
805	0.05924046364
806	0.05912514263
807	0.05908967564
808	0.05901086775
809	0.05891368851
810	0.05885136644
811	0.0587690328
812	0.05869845287
813	0.05858232286
814	0.05850921314
815	0.05850302222
816	0.05845737173
817	0.05835512078
818	0.05830286378
819	0.05823568612
820	0.05816336216
821	0.05808604596
822	0.05800467025
823	0.05793307797
824	0.05789254713
825	0.05782627009
826	0.05780622889
827	0.05773020803
828	0.05763737201
829	0.05757577676
830	0.05749498957
831	0.0574896034
832	0.057390714
833	0.05738530176
834	0.05729864114
835	0.05725754134
836	0.057210225
837	0.05717086811
838	0.05706415633
839	0.05698616993
840	0.05696708884
841	0.05693727866
842	0.05691122872
843	0.05683850829
844	0.05681803322
845	0.05675770957
846	0.05673764859
847	0.05668196845
848	0.05661067459
849	0.05657682621
850	0.05645346205
851	0.05642589709
852	0.0563507502
853	0.05632703474
854	0.05626758944
855	0.05616706126
856	0.0561255905
857	0.05609035136
858	0.05607149045
859	0.05606650804
860	0.05599560477
861	0.05590494131
862	0.05585417637
863	0.05577361167
864	0.05570629204
865	0.0556281876
866	0.05555463631
867	0.05547803957
868	0.05538593667
869	0.05529155905
870	0.05522205476
871	0.05520107001
872	0.05514636635
873	0.05508980942
874	0.05501697177
875	0.05501194521
876	0.0549339318
877	0.05491638054
878	0.05489473666
879	0.0548276776
880	0.05475596742
881	0.05468761712
882	0.05461390178
883	0.05453633574
884	0.05446956621
885	0.05435862891
886	0.05427961118
887	0.05426752988
888	0.05425003275
889	0.05422607402
890	0.05418428413
891	0.05408159341
892	0.05406042399
893	0.05405065622
894	0.05402430358
895	0.05395814082
896	0.05387772131
897	0.05374422682
898	0.05368061601
899	0.05359188467
900	0.05358196809
901	0.05357706864
902	0.05348874711
903	0.0534353753
904	0.0533185258
905	0.05324774602
906	0.05322796797
907	0.05316603659
908	0.05309213573
909	0.05303510585
910	0.05299016982
911	0.0529380663
912	0.05288316535
913	0.05281028221
914	0.05279282356
915	0.0527807752
916	0.05272369556
917	0.05266645069
918	0.05258677218
919	0.0525778625
920	0.05253990135
921	0.05247658181
922	0.05241701426
923	0.05235055238
924	0.05231461477
925	0.05225181691
926	0.05224156183
927	0.05216534418
928	0.05212753934
929	0.05211832808
930	0.05209626988
931	0.05204485011
932	0.05195413481
933	0.05190333619
934	0.05188490107
935	0.05188097373
936	0.05185849544
937	0.05174944038
938	0.05170935394
939	0.05169585215
940	0.05164104217
941	0.05162690684
942	0.05157324175
943	0.05155308873
944	0.05150687241
945	0.05149721013
946	0.05140081165
947	0.05134249451
948	0.05124404382
949	0.05121662038
950	0.05117194509
951	0.05116161094
952	0.05108774826
953	0.05101739307
954	0.05093783487
955	0.05088117166
956	0.05083238581
957	0.05080416148
958	0.05078328296
959	0.05072891734
960	0.05064826887
961	0.05063855713
962	0.05056475989
963	0.05052128322
964	0.05047829062
965	0.05042649941
966	0.05041859055
967	0.05037335703
968	0.05033767964
969	0.05028841271
970	0.05022593679
971	0.05017831256
972	0.05012567806
973	0.05008071991
974	0.0500249832
975	0.04996267824
976	0.04988022449
977	0.04980921627
978	0.0497467601
979	0.04964713892
980	0.04959203725
981	0.04958743149
982	0.04954044479
983	0.04947483662
984	0.04942538383
985	0.04938030548
986	0.04933918714
987	0.04929640609
988	0.04929307
989	0.04924862404
990	0.04924562816
991	0.04917219671
992	0.04916894167
993	0.04911869351
994	0.04903393
995	0.04898176985
996	0.04896594416
997	0.04890366866
998	0.04884865344
999	0.04880922487
2296
998	0.04902953132
999	0.04902680404
999	0.04575916535
